title,authors,link
In situ Neighborhood Sampling for Large-Scale GNN Training,Yuhang Song (Boston University); Po Hao Chen (Brown University); Yuchen Lu (Boston University); Naima Abrar Shami (Boston University); Vasiliki Kalavri (Boston University),https://dl.acm.org/doi/10.1145/3662010.3663443
Performance or Efficiency? A Tale of Two Cores for DB Workloads,Rathijit Sen (Microsoft),https://dl.acm.org/doi/10.1145/3662010.3663444
Seamless: Transparent Storage Access Through Smart Switches,Simon Binder (TU Darmstadt); Matthias Jasny (TU Darmstadt); Tobias Ziegler (TU Darmstadt),https://dl.acm.org/doi/10.1145/3662010.3663446
"DuckDB-SGX2: The Good, The Bad and The Ugly within Confidential Analytical Query Processing","Ilaria Battiston (CWI); Charlotte C Felius (CWI); Sam Ansmink (DuckDB Labs); Laurens Kuiper (CWI, DuckDB Labs); Peter Boncz (CWI)",https://dl.acm.org/doi/10.1145/3662010.3663447
